排序,人员编号,级别,职称,参加工作时间,来院时间,学历,配偶状态,出生年月,奖励分,职称职务原始分,工龄原始分,来院时间原始分,学历原始分,配偶状态原始分,年龄原始分,奖励分原始分,AHP综合得分
1,18,9,高级,1975.10,1994.6,本科,院内职工,1955.11,6,18,52,13,3,2,101,6,0.6728972883558932
2,16,9,高级,1976.11,1994.6,硕士,院内干部,1958.2,0,18,39,13,4,3,74,0,0.6406226991819302
3,29,9,高级,1978.10,1994.6,博士后,院内干部,1962.4,5,18,16,13,6,3,24,5,0.6029143803882332
4,17,9,高级,1975.9,1994.6,本科,院内职工,1959.5,1,18,53,13,3,2,59,1,0.5924583383925898
5,15,9,高级,1978.10,1994.1,本科,院内干部,1962.1,5,18,16,18,3,3,27,5,0.5794593055246798
6,21,9,高级,1975.4,1994.6,硕士,院外,1958.11,2,18,58,13,4,1,65,2,0.5756152329700113
7,35,9,高级,1978.10,1994.12,博士,院内干部,1961.4,3,18,16,7,5,3,36,3,0.5692558334104553
8,36,9,高级,1978.10,1994.12,博士,院内干部,1963.3,6,18,16,7,5,3,13,6,0.5667751599400261
9,34,9,高级,1975.8,1994.12,硕士,院外,1957.7,2,18,54,7,4,1,81,2,0.5665546082778876
10,10,8,高级,1974.8,1993.12,本科,院内职工,1956.3,4,12,66,19,3,2,97,4,0.5543489958720483
11,1,8,中级,1971.9,1991.6,本科,院外,1954.9,0,8,101,49,3,1,115,0,0.5542802337995081
12,40,9,高级,1980.1,1995.6,硕士,院内干部,1961.3,4,18,1,1,4,3,37,4,0.5143056320509873
13,2,8,高级,1978.2,1992.12,硕士,院内职工,1957.3,4,12,24,31,4,2,85,4,0.5020420755427412
14,7,8,中级,1972.3,1993.12,大专,院内职工,1954.11,0,8,95,19,2,2,113,0,0.491482348735404
15,20,9,中级,1974.9,1994.6,大专,院内职工,1957.1,0,12,65,13,2,2,87,0,0.47993902290274015
16,8,8,高级,1977.10,1993.12,硕士,院内干部,1960.8,3,12,28,19,4,3,44,3,0.4783149219451993
17,24,9,中级,1977.1,1994.6,本科,院内干部,1960.3,0,12,37,13,3,3,49,0,0.44871228822686315
18,25,8,高级,1978.10,1994.6,硕士,院内干部,1959.4,2,12,16,13,4,3,60,2,0.44486878561694226
19,12,8,高级,1975.12,1993.12,硕士,院外,1958.3,2,12,50,19,4,1,73,2,0.43832733290307435
20,5,8,中级,1974.2,1993.1,硕士,院外,1956.10,2,8,72,30,4,1,90,2,0.43810051659444027
21,32,8,高级,1977.10,1994.12,硕士,院内干部,1960.8,2,12,28,7,4,3,44,2,0.43515375065955714
22,26,9,中级,1976.7,1994.6,本科,院内职工,1958.1,0,12,43,13,3,2,75,0,0.43426495593823633
23,9,8,中级,1972.12,1993.12,大专,院外,1954.5,0,8,86,19,2,1,119,0,0.4236916079178384
24,6,8,中级,1973.5,1993.6,大专,院外,1955.10,0,8,81,25,2,1,102,0,0.4126167094861755
25,22,8,中级,1975.9,1994.4,硕士,院内职工,1957.4,3,8,53,15,4,2,84,3,0.40940789459805726
26,14,8,中级,1975.9,1993.12,本科,院内职工,1956.7,0,8,53,19,3,2,93,0,0.3948276531759607
27,23,9,中级,1976.5,1994.6,本科,院外,1957.7,0,12,45,13,3,1,81,0,0.3897653520504568
28,27,9,中级,1978.10,1994.6,硕士,院内干部,1963.4,1,12,16,13,4,3,12,1,0.3856236412305002
29,3,8,中级,1976.12,1992.12,硕士,院外,1955.3,1,8,38,31,4,1,109,1,0.3821430780191032
30,31,8,中级,1975.6,1994.12,大专,院内干部,1958.7,0,8,56,7,2,3,69,0,0.3809171113740122
31,11,8,中级,1974.4,1993.12,本科,院外,1956.12,0,8,70,19,3,1,88,0,0.37021816856249457
32,39,9,中级,1978.10,1995.1,本科,院内干部,1961.7,0,12,16,6,3,3,33,0,0.3661476201196434
33,33,8,高级,1978.7,1994.12,博士后,院外,1962.2,5,12,19,7,6,1,26,5,0.3363097462767589
34,38,9,中级,1978.10,1994.12,本科,院内干部,1964.3,0,12,16,7,3,3,1,0,0.33459141486244215
35,19,9,初级,1972.12,1994.6,中专,院外,1956.1,0,6,86,13,1,1,99,0,0.32144719508956515
36,4,8,中级,1976.12,1992.12,大专,院外,1957.11,0,8,38,31,2,1,77,0,0.31244841293810494
37,28,9,中级,1978.2,1994.6,本科,院外,1960.5,0,12,24,13,3,1,47,0,0.3086097499316282
38,13,8,中级,1975.8,1993.12,大专,院外,1959.1,0,8,54,19,2,1,63,0,0.2955038248820703
39,37,9,中级,1978.10,1994.12,本科,院内职工,1963.3,0,12,16,7,3,2,13,0,0.29233188898392526
40,30,9,中级,1979.9,1994.6,本科,院外,1962.9,1,12,5,13,3,1,19,1,0.24561023312009164
