人员,任职时间,工作时间,职级,职称,配偶情况,学历,出生年月,奖励加分
1,8.3,32.0,2,2,1,3,52.4,1
2,6.5,24.3,2,3,2,4,49.4,5
3,6.5,25.7,2,2,1,4,51.8,2
4,6.5,25.7,2,2,1,2,48.6,1
5,6.4,29.1,2,2,1,4,49.9,3
6,5.9,30.0,2,2,1,2,51.1,1
7,5.3,31.4,2,2,2,2,52.2,1
8,5.3,24.7,2,3,3,4,45.3,4
9,5.3,30.5,2,2,1,2,52.8,1
10,5.3,28.5,2,3,2,3,50.6,5
11,5.3,28.9,2,2,1,3,49.7,1
12,5.3,26.9,2,3,1,4,48.2,3
13,5.3,27.3,2,2,1,2,47.2,1
14,5.3,27.2,2,2,2,3,50.2,1
15,5.3,23.5,1,3,3,3,43.6,6
16,4.7,25.8,1,3,3,4,48.3,1
17,4.7,27.2,1,3,2,3,46.8,2
18,4.7,27.1,1,3,2,3,51.0,7
19,4.7,30.5,1,1,1,1,50.8,1
20,4.7,28.4,1,2,2,2,49.6,1
21,4.7,27.7,1,3,1,4,47.4,3
22,4.7,27.2,2,2,2,4,49.3,4
23,4.7,26.4,1,2,1,3,49.0,1
24,4.7,25.6,1,2,3,3,45.8,1
25,4.7,23.5,2,3,3,4,46.9,3
26,4.7,26.2,1,2,2,3,48.4,1
27,4.7,23.5,1,2,3,4,42.1,2
28,4.7,24.3,1,2,1,3,45.6,1
29,4.7,23.5,1,3,3,6,43.3,6
30,4.7,22.4,1,2,1,3,42.8,2
31,4.1,27.5,2,2,3,2,47.8,1
32,4.1,24.7,2,3,3,4,45.3,3
33,4.1,23.8,2,3,1,6,43.5,6
34,4.1,27.3,1,3,1,4,49.0,3
35,4.1,23.5,1,3,3,5,44.5,4
36,4.1,23.5,1,3,3,5,42.2,7
37,4.1,23.5,1,2,2,3,42.2,1
38,4.1,22.3,1,2,3,3,41.0,1
39,4.0,22.3,1,2,3,3,44.2,1
40,3.5,22.0,1,3,3,4,44.6,5
